,ID Emprego,Categoria Emprego,Faixa Salarial de,Faixa Salarial até
0,544477,"Engineering, Architecture, & Planning",53702.0,146121.0
1,459790,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Social Services",76270.0,98830.0
2,272382,"Public Safety, Inspections, & Enforcement",60673.0,91795.0
3,539975,Social Services,80000.0,84000.0
4,547692,"Administration & Human Resources Legal Affairs Public Safety, Inspections, & Enforcement",60000.0,60000.0
5,539169,Health Building Operations & Maintenance,17.9803,20.68
6,533017,Communications & Intergovernmental Affairs,94715.0,136260.0
7,530985,"Finance, Accounting, & Procurement Health",56013.0,65000.0
8,544430,"Finance, Accounting, & Procurement",62470.0,80008.0
9,508504,Social Services,73027.0,87622.0
10,534765,Health,45428.0,52242.0
11,375114,Communications & Intergovernmental Affairs,39170.0,39170.0
12,544973,"Technology, Data & Innovation",100000.0,180000.0
13,546539,"Constituent Services & Community Programs Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",64140.0,77609.0
14,469360,Legal Affairs,58700.0,122000.0
15,436199,"Engineering, Architecture, & Planning",72063.0,122168.0
16,544752,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",51535.0,59265.0
17,538929,Administration & Human Resources,36390.0,55228.0
18,543782,Health,34027.0,34027.0
19,552557,"Policy, Research & Analysis",75504.0,86830.0
20,552120,Constituent Services & Community Programs,74650.0,85847.0
21,544443,Communications & Intergovernmental Affairs Social Services,54100.0,62215.0
22,533925,Constituent Services & Community Programs Social Services,54100.0,83981.0
23,550573,Constituent Services & Community Programs,38333.0,44083.0
24,551089,"Finance, Accounting, & Procurement",100000.0,115000.0
25,550536,Administration & Human Resources,15.5,16.02
26,520270,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",57078.0,85646.0
27,551046,Constituent Services & Community Programs,54100.0,83981.0
28,551591,Legal Affairs,82137.0,82137.0
29,552383,"Finance, Accounting, & Procurement",160000.0,175000.0
30,543847,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis Social Services",94715.0,107310.0
31,541529,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",80557.0,111917.0
